open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,return_1d,return_7d,rolling_volatility,rsi,sma_20,sma_50,sma_200,bb_upper,bb_middle,bb_lower,macd,macd_signal,macd_histogram,stochastic_oscillator,stoch_k,stoch_d,future_return,label
2023-03-10,20362.21,20367.78,19549.09,20150.69,618456.4671,2023-03-10 23:59:59.999,12344992788.912497,12106261.0,308155.80993,6151475123.535514,,,,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,0.015137943167206735,1
2023-03-11,20150.69,20686.51,19765.03,20455.73,427831.82133,2023-03-11 23:59:59.999,8651590672.468525,10412300.0,213151.47855,4310534195.909292,0.015137943167206735,,,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,0.07535199183798391,2
2023-03-12,20455.73,22150.0,20270.6,21997.11,430944.94288,2023-03-12 23:59:59.999,8982418413.80114,9721933.0,218639.0688,4558127964.925804,0.07535199183798391,,,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,0.09621127502658289,2
2023-03-13,21998.05,24500.0,21813.88,24113.48,687889.31259,2023-03-13 23:59:59.999,15824996078.60564,14820760.0,346688.17025,7976620081.706099,0.09621127502658289,,,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,0.023096210086640312,2
2023-03-14,24112.27,26386.87,23976.42,24670.41,699360.93423,2023-03-14 23:59:59.999,17465307097.884075,15223589.0,351739.11994,8783916247.676138,0.023096210086640312,,,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,-0.01559560623435119,1
2023-03-15,24670.41,25196.97,23896.95,24285.66,581450.72984,2023-03-15 23:59:59.999,14291005743.897852,12613034.0,291192.86696,7157472156.962334,-0.01559560623435119,,,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,0.02936383034267953,2
2023-03-16,24285.66,25167.4,24123.0,24998.78,439421.32998,2023-03-16 23:59:59.999,10847330151.941006,10418081.0,220403.30289,5441432259.260846,0.02936383034267953,,,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,0.09585867790348179,2
2023-03-17,24998.78,27756.84,24890.0,27395.13,624460.68091,2023-03-17 23:59:59.999,16476681071.24338,13113359.0,318022.61356,8392477832.002322,0.09585867790348179,0.3595132474371847,0.04361857897081368,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,-0.017800244057976755,1
2023-03-18,27395.13,27724.85,26578.0,26907.49,371238.97174,2023-03-18 23:59:59.999,10135945069.64263,9948603.0,185687.70768,5070480124.593879,-0.017800244057976755,0.31540111254890446,0.0489119251580606,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,0.039594179910500626,2
2023-03-19,26907.49,28390.1,26827.22,27972.87,372066.99054,2023-03-19 23:59:59.999,10264707987.594164,9578297.0,188150.56147,5191102286.400918,0.039594179910500626,0.2716611409407872,0.04652645385859984,,,,,,,,,,,<ta.momentum.StochasticOscillator object at 0x0000023521FF87D0>,,,-0.009146719660871439,1
